precision_1,recall_1,f1_1,precision_2,recall_2,f1_2
0.5982,0.6108,0.6045,0.4721,0.2248,0.3046
0.5041,0.4708,0.4869,0.4182,0.2864,0.34
0.4786,0.4126,0.4432,0.4263,0.4845,0.4536
0.3731,0.4503,0.4081,0.5657,0.5657,0.5657
0.6601,0.5015,0.57,0.5869,0.4867,0.5322
0.6691,0.5897,0.6269,0.7227,0.6109,0.6621
0.5915,0.5773,0.5843,0.5109,0.4742,0.4919
1.0,1.0,1.0,,,
0.5503,0.5503,0.5503,0.3379,0.4169,0.3732
0.6722,0.4906,0.5672,1.0,1.0,1.0
0.5377,0.4236,0.4739,0.5014,0.4617,0.4807
0.5588,0.4725,0.512,0.4817,0.4983,0.4899
0.7541,0.8397,0.7946,0.5437,0.5437,0.5437
0.4283,0.3263,0.3704,0.4149,0.4149,0.4149
0.4567,0.568,0.5063,0.4037,0.52,0.4545
0.7716,0.6491,0.7051,1.0,1.0,1.0
0.4,0.4839,0.438,0.438,0.438,0.438
0.7638,0.8446,0.8022,0.6037,0.5204,0.559
0.5106,0.6376,0.5671,1.0,1.0,1.0
0.5698,0.5698,0.5698,0.5325,0.3702,0.4368
0.5174,0.4683,0.4916,0.6393,0.4853,0.5518
0.437,0.4451,0.441,0.47,0.4193,0.4432
0.729,0.9138,0.811,0.8009,0.9001,0.8476
0.318,0.4131,0.3593,0.6904,0.6904,0.6904
0.485,0.5357,0.5091,0.5019,0.5359,0.5183
0.5889,0.5889,0.5889,0.6138,0.6138,0.6138
0.55,0.6296,0.5871,0.6009,0.6008,0.6009
1.0,1.0,1.0,0.4669,0.3856,0.4224
0.569,0.5225,0.5447,0.7779,0.6756,0.7232
0.9364,0.9364,0.9364,0.9458,0.9458,0.9458
0.4811,0.4756,0.4783,0.4186,0.3585,0.3862
0.5181,0.5181,0.5181,0.4382,0.5365,0.4824
0.9322,0.9322,0.9322,0.5931,0.5931,0.5931
0.9028,0.9028,0.9028,0.8286,0.7514,0.7881
0.5492,0.5374,0.5432,1.0,1.0,1.0
0.5662,0.5662,0.5662,0.3777,0.4341,0.4039
0.4394,0.4578,0.4484,0.5314,0.501,0.5157
0.4864,0.4041,0.4414,0.4709,0.3917,0.4276
1.0,1.0,1.0,0.8417,0.9322,0.8846
0.8155,0.544,0.6526,1.0,1.0,1.0
0.6571,0.6571,0.6571,0.6582,0.5757,0.6142
0.5729,0.5729,0.5729,0.7092,0.7092,0.7092
1.0,1.0,1.0,0.8046,0.8855,0.8431
0.452,0.4171,0.4339,0.4082,0.4534,0.4296
0.5738,0.5203,0.5457,0.7752,0.8663,0.8182
0.5064,0.446,0.4743,0.5966,0.4328,0.5017
1.0,1.0,1.0,0.4146,0.5167,0.4601
0.5629,0.6859,0.6183,0.5306,0.6538,0.5858
0.3925,0.4537,0.4209,0.5293,0.569,0.5484
0.4932,0.5015,0.4973,0.7056,0.7056,0.7056
